index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
686,Circle K Fornebu,0,66782076,"Rolfsbuktveien 2, 1364 Fornebu","59.89485475248572, 10.627171917172351",,,,,,,2022-02-24 01:39:34.145351,00.00
687,Circle K Asker,0,21420246,"Askerveien 61, 1384 Asker","59.8349910612713, 10.44277718457862",,,,,,,2022-02-24 01:47:39.523915,00.00
688,Eco 1 Holmen,0,64873058,"Holmengata 6, 1394 Nesbru","59.85529250311235, 10.48990648509481",,,,,,,2022-02-24 02:30:47.349365,00.00
689,Circle K Ski,0,66823000,"Jernbaneveien 20, 1400 Ski","59.71546808865981, 10.838515691940081",,,,,,,2022-02-24 01:39:06.921160,00.00
690,Circle K Kolbotn,0,66911557,"Skiveien 55, 1410 Kolbotn","59.810882, 10.8008001",,,,,,,2022-02-24 01:39:34.145351,00.00
691,Circle K Flaskebekk,0,67980350,"Kapellveien 80, 1452 Nesoddtangen","59.8494323077054, 10.659638623362824",,,,,,,2022-02-24 01:47:39.523915,00.00
692,Circle K Lørenskog,0,67905366,"Robsrudveien 1, 1470 Lørenskog","59.92825715743451, 10.953597357434502",,,,,,,2022-02-24 02:30:47.349365,00.00
693,Circle K Fjellhamar,0,67075168,"Strømsveien 180, 1474 Lørenskog","59.9281257, 10.9534659",,,,,,,2022-02-24 01:39:06.921160,00.00
694,YX/7-eleven hakadal,0,69268058,"Hadelandsveien 1375, 1484 Hakadal","60.100555536711006, 10.865920939060752",,,,,,,2022-02-24 01:39:34.145351,00.00
695,Circle K Storebaug,0,69314515,"Storebaug 6, 1529 Moss","59.4254907192959, 10.706644323789346",,,,,,,2022-02-24 01:47:39.523915,00.00
696,Circle K Freskoveien,0,69312505,"Freskoveien 12, 1605 Fredrikstad","59.21369302566092, 10.936492025660925",,,,,,,2022-02-24 02:30:47.349365,00.00
697,Shell 7 Eleven,0,69334132,"Hans Jacob Nilsens gate 4, 1606 Fredrikstad","52.274228685536826, 20.997201464639957",,,,,,,2022-02-24 01:39:06.921160,00.00
698,Onsøy auto-service,0,22665600,"Kjenneveien 31, 1623 Gressvik","59.2182472, 10.9063889",,,,,,,2022-02-24 01:39:34.145351,00.00
699,Shell Express Onsøy,0,22665600,"Saltnesveien 2 A, 1626 Manstad","58.7404785, 11.8729128",,,,,,,2022-02-24 01:47:39.523915,00.00
700,Shell Crt Øra,0,69322490,"Titangata 9, 1630 Gamle Fredrikstad","59.21375152228661, 10.93655052228661",,,,,,,2022-02-24 02:30:47.349365,00.00
701,Circle K Østsiden,0,69131369,"Habornveien 1, 1630 Gamle Fredrikstad","59.21347008973419, 10.936269089734191",,,,,,,2022-02-24 01:39:06.921160,00.00
702,Yx de Mido AS,0,69163790,"Bakkelifjellet 27, 1710 Sarpsborg","59.284084613728815, 11.109816913728812",,,,,,,2022-02-24 01:39:06.921160,00.00
703,Circle K Alvim,0,69168700,"Klokkergårdveien 34, 1711 Sarpsborg","59.28419106566356, 11.109923365663562",,,,,,,2022-02-24 01:39:34.145351,00.00
704,"Best Ekspress, avd Skjeberg",0,69180988,"Stasjonsveien 64, 1746 Skjeberg","59.2118594, 11.1904753",,,,,,,2022-02-24 01:47:39.523915,00.00
705,Kirkebakken auto senter,0,69176540,"Kirkebakken 8 /10, 1767 Halden","59.068197685168634, 11.53733318740839",,,,,,,2022-02-24 02:30:47.349365,00.00
706,Shell Svinesund E6,0,69886788,"Svinesundparken 2, 1788 Halden","59.0684626041728, 11.53759810641255",,,,,,,2022-02-24 01:39:06.921160,00.00
707,Circle K Sekkelsten,0,22665600,"Rakkestadveien 50, 1814 Askim","59.58212813190694, 11.141825772140015",,,,,,,2022-02-24 01:39:34.145351,00.00
708,Shell Crt Spydeberg,0,32759080,"Spydebergveien 162, 1820 Spydeberg","59.621104491780855, 11.079649391780857",,,,,,,2022-02-24 01:47:39.523915,00.00
709,DRIV Fossum Bro,0,22665600,"Osloveien 413, 1820 Spydeberg","59.62112020278727, 11.079665102787269",,,,,,,2022-02-24 02:30:47.349365,00.00
710,Shell Express Morenen,0,94174035,"Morstongveien 27, 1859 Slitu","59.5668864, 11.2620807",,,,,,,2022-02-24 01:39:06.921160,00.00
711,Circle K Ørje,0,63882900,"Trekanten 1, 1870 Ørje","59.480231, 11.6601637",,,,,,,2022-02-24 01:39:34.145351,00.00
712,Circle K Fetsund,0,63881228,"Fetveien 425, 1900 Fetsund","59.9270625, 11.1623481",,,,,,,2022-02-24 01:47:39.523915,00.00
713,YX/7-ELEVEN Fetsund,0,64924408,"Kirkeveien 75, 1900 Fetsund","59.92274096460993, 11.169573046788624",,,,,,,2022-02-24 02:30:47.349365,00.00
714,Esso Ytre Enebakk,0,63856695,"Osloveien 80, 1914 Ytre Enebakk","59.769249200000004, 11.104546563719158",,,,,,,2022-02-24 01:39:06.921160,00.00
715,Shell 7-Eleven d,0,63858335,"Kompveien, Bliksrud, 1940 Bjørkelangen","59.85166475, 11.544373461315965",,,,,,,2022-02-24 01:39:34.145351,00.00
716,Circle K Hemnes,0,63811570,"Langstranda 7, 1970 Hemnes","66.01135455, 14.142850886712063",,,,,,,2022-02-24 01:47:39.523915,00.00
717,Circle K Kjeller,0,22665600,"Åråsveien 175, 2007 Kjeller","59.9731544, 11.0463826",,,,,,,2022-02-24 02:30:47.349365,00.00
718,Shell Express Skedsmo,0,64836870,"Prost Stabels vei 6, 2019 Skedsmokorset","71.04712885, 25.94061429036828",,,,,,,2022-02-24 01:39:06.921160,00.00
719,Shell Skedsmovollen Vest,0,63876488,"Skedsmo Kirkevei 409, E6 Sydgående, 2020 Skedsmokorset","59.0076486, 17.8056962",,,,,,,2022-02-24 01:39:06.921160,00.00
720,Circle K Skedsmokorset,0,63981500,"Trondheimsveien 125, 2020 Skedsmokorset","60.0045779, 11.0327969",,,,,,,2022-02-24 01:39:34.145351,00.00
721,Shell Kløfta Øst,0,67024700,"Smed Bakkes veg 9, 2040 Kløfta","41.36778095, -72.92273797556797",,,,,,,2022-02-24 01:47:39.523915,00.00
722,Circle K Jessheim,0,63955540,"Trondheimsvegen - Jessheim 80, 2050 Jessheim","40.55650155, -75.36819734087138",,,,,,,2022-02-24 02:30:47.349365,00.00
723,Shell Nebbenes Vest,0,63955542,"Østre Hurdalveg 181, 2074 Eidsvoll Verk","60.3285925, 11.2613229",,,,,,,2022-02-24 01:39:06.921160,00.00
724,Shell Nebbenes Øst,0,63968240,"Ormlibakken 170, 2074 Eidsvoll Verk","36.38093402201144, 50.688798722011434",,,,,,,2022-02-24 01:39:34.145351,00.00
725,Circle K Detaljist AS dupli,0,62961205,"Feiringvegen 23, 2092 Minnesund","60.3918866, 11.2069946",,,,,,,2022-02-24 01:47:39.523915,00.00
726,Circle K Skarnes,0,63900583,"Oslovegen 13, 2100 Skarnes","60.2538602, 11.6804033",,,,,,,2022-02-24 02:30:47.349365,00.00
727,Circle K Årnes,0,22665600,"Øvre Hagaveg 1 B, 2150 Årnes","40.7149288, -73.72217258652208",,,,,,,2022-02-24 01:39:06.921160,00.00
728,Shell Automat Vormsund,0,62819511,"Eidsvollvegen 1 A, 2160 Vormsund","60.1534246, 11.41601",,,,,,,2022-02-24 01:39:34.145351,00.00
729,Circle K Arkoveien,0,62952940,"60.1866725, 12.0050299","60.186996419413866, 12.005353819413866",,,,,,,2022-02-24 01:47:39.523915,00.00
730,Circle K Flisa,0,62522013,"Kjølabakken 32, 2270 Flisa","60.61242489787969, 12.012037697879688",,,,,,,2022-02-24 02:30:47.349365,00.00
731,Circle K Furnesvegen,0,62521717,"Furnesvegen 71, 2318 Hamar","60.795176980038505, 11.068493880038503",,,,,,,2022-02-24 01:39:06.921160,00.00
732,Circle K Vangsveien,0,62571520,"Ringgata 62, 2318 Hamar","60.79506057072008, 11.068377470720083",,,,,,,2022-02-24 01:39:34.145351,00.00
733,Circle K Stange,0,90408004,"Heggedalsvegen 14, 2335 Stange","60.6244351, 11.383120762784838",,,,,,,2022-02-24 01:47:39.523915,00.00
734,Circle K Innlandsporten,0,22665600,"Kolomoen 920, 2337 Tangen","60.3280631, 5.2266276",,,,,,,2022-02-24 02:30:47.349365,00.00
735,Shell Crt Rudshøgda,0,62340999,"Rudsvegen 20, 2360 Rudshøgda","60.91316835892652, 10.811972258926518",,,,,,,2022-02-24 01:39:06.921160,00.00
736,Shell Brumunddal sentrum,0,62341494,"Furnesvegen 21, 2380 Brumunddal","60.88696726246027, 10.937146162460271",,,,,,,2022-02-24 01:39:34.145351,00.00
737,Circle K Brumunddal,0,22665600,"Nygata 14, 2380 Brumunddal","60.88690765550423, 10.937086555504234",,,,,,,2022-02-24 01:47:39.523915,00.00
738,Shell Express Brumunddal,0,62367202,"Furnesvegen 54, 2382 Brumunddal","60.8866339, 10.9368128",,,,,,,2022-02-24 02:30:47.349365,00.00
739,Shell7-Eleven Moelv,0,22665600,"Storgata 128, 2390 Moelv","60.9305469, 10.6996643",,,,,,,2022-02-24 01:39:06.921160,00.00
740,Shell Crt Elverum,0,62414008,"Jegerstien 12, 2406 Elverum","60.88333878858662, 11.560613888586621",,,,,,,2021-12-28 14:39:00.282380,00.00
741,Circle K Hernes,0,62455680,"Sørskogbygdvegen 2, 2410 Hernes","60.9264903, 11.6356837",,,,,,,2022-02-24 01:39:06.921160,00.00
742,Circle K Trysil,0,62440355,"Storvegen 2, 2420 Trysil","61.35647983754176, 12.367358597917617",,,,,,,2022-02-24 01:39:34.145351,00.00
743,YX 7-Eleven Rena,0,62460759,"Tollef Kildes gate 12, 2450 Rena","61.13100517926362, 11.370376162230096",,,,,,,2022-02-24 01:47:39.523915,00.00
744,Circle K Stai,0,62481105,"Storelvdalsveien 3881, 2480 Koppang","61.5723292, 11.0461098",,,,,,,2022-02-24 02:30:47.349365,00.00
745,Circle K Tynset,0,62487325,"Brugata 10, 2500 Tynset","62.36027111752552, 10.532413431882636",,,,,,,2022-02-24 01:39:06.921160,00.00
746,Circle K Alvdal,0,61247550,"Nord-Østerdalsveien 5196, 2560 Alvdal","62.09665875160487, 10.502638986157947",,,,,,,2022-02-24 01:39:34.145351,00.00
747,Circle K Strandtorget,0,22665600,"Strandpromenaden 85, 2609 Lillehammer","61.115746162161415, 10.447193507407738",,,,,,,2022-02-24 01:47:39.523915,00.00
748,Shell Express Røyslimoen,0,61252154,"Røyslivegen 4, 2611 Lillehammer","61.09969404282518, 10.507942249735756",,,,,,,2022-02-24 02:30:47.349365,00.00
749,Circle K Menkerud,0,22665600,"Hamarvegen 75, 2613 Lillehammer","61.09919952605729, 10.475015352351072",,,,,,,2022-02-24 01:39:06.921160,00.00
750,Shell Express Lillehammer,0,61280174,"Gudbrandsdalsvegen 187, 2619 Lillehammer","61.1283958061209, 10.453857976191332",,,,,,,2022-02-24 01:39:34.145351,00.00
751,Circle K Ringebu,0,22665600,"Gudbrandsdalsvegen 2005, 2630 Ringebu","61.5572191, 10.364927458738272",,,,,,,2022-02-24 01:47:39.523915,00.00
752,Shell Automat Fåvang,0,61277800,"Tromsnesvegen 3, 2634 Fåvang","61.4554321, 10.1947677",,,,,,,2022-02-24 02:30:47.349365,00.00
753,Circle K Øyer,0,61295601,"Strømshuguvegen 3, 2636 Øyer","61.32775571416724, 10.504405756237054",,,,,,,2022-02-24 01:39:06.921160,00.00
754,Circle K Vinstra,0,61290401,"Rustvegen 79, 2640 Vinstra","61.59565182635555, 9.747361627578554",,,,,,,2022-02-24 01:39:34.145351,00.00
755,Circle K Vinstra d,0,22665600,"Øvregata 23, 2640 Vinstra","61.595815972663, 9.747525773886004",,,,,,,2022-02-24 01:47:39.523915,00.00
756,Shell Express Dombås,0,61242490,"Gudbrandsdalsvegen 2582, E6, 2660 Dombås","62.075085872169495, 9.123591572169499",,,,,,,2022-02-24 02:30:47.349365,00.00
757,Circle K Dombås,0,61230046,"Gudbrandsdalsvegen 2604, 2660 Dombås","62.0748682, 9.1233739",,,,,,,2022-02-24 01:39:06.921160,00.00
758,Circle K Otta,0,61211250,"Mullersgate 27, 2670 Otta","61.77143610597933, 9.53966420597933",,,,,,,2022-02-24 01:39:06.921160,00.00
759,Circle K Lom,0,61322690,"Sognefjellsvegen 21, 2686 Lom","45.57048935866639, 9.773372358666398",,,,,,,2022-02-24 01:39:34.145351,00.00
760,Circle K Lunner,0,22665600,"Hadelandsvegen 2384, 2730 Lunner","60.235060149999995, 10.6664934222367",,,,,,,2022-02-24 01:47:39.523915,00.00
761,Shell Automat Brandbu,0,22665600,"Storlinna 71, 2760 Brandbu","60.42086270676415, 10.507111306764145",,,,,,,2022-02-24 02:30:47.349365,00.00
762,Shell Express Gjøvik,0,61183020,"Østre Totenveg 145, 2816 Gjøvik","60.7968654473618, 10.693722847361805",,,,,,,2022-02-24 01:39:06.921160,00.00
763,Circle K Mjøsstranda,0,61191232,"Bryggevegen 11, 2821 Gjøvik","60.79692015291099, 10.693777552910992",,,,,,,2022-02-24 01:39:34.145351,00.00
764,YX 7-Eleven Raufoss,0,61187740,"Storgata 21, 2830 Raufoss","60.72196226664881, 10.612848806647886",,,,,,,2022-02-24 01:47:39.523915,00.00
765,Yx 7-Eleven d,0,92463980,"Skumsrudvegen 25, 2836 Biri","12.74184485, 124.37800382051503",,,,,,,2022-02-24 02:30:47.349365,00.00
766,Circle K Fagernes,0,32839090,"Valdresvegen 15, 2900 Fagernes","60.986534930634676, 9.236617430634679",,,,,,,2022-02-24 01:39:06.921160,00.00
767,Circle K Bragernes,0,32822011,"Engene 30, 3015 Drammen","59.74395708470411, 10.204657084704108",,,,,,,2022-02-24 01:39:34.145351,00.00
768,Circle K Rosenkrantzgata,0,32886590,"Rosenkrantzgata 156, 3023 Drammen","59.74384874179814, 10.204548741798135",,,,,,,2022-02-24 01:47:39.523915,00.00
769,Circle K Konnerud,0,32759080,"Gramsborgveien 2, 3032 Drammen","59.74379366282922, 10.204493662829215",,,,,,,2022-02-24 02:30:47.349365,00.00
770,DRIV Lindum gjenvinningsstasjon,0,32818119,"Lerpeveien 155, 3036 Drammen","59.74394091741189, 10.204640917411888",,,,,,,2022-02-24 01:39:06.921160,00.00
771,Circle K Rundtom,0,32873795,"Rundtomsvingen 2, 3041 Drammen","59.74402857825275, 10.20472857825275",,,,,,,2022-02-24 01:39:34.145351,00.00
772,Circle K Mjøndalen,0,33785060,"Strandveien 43, 3050 Mjøndalen","59.752073484724505, 10.025753333244836",,,,,,,2022-02-24 01:47:39.523915,00.00
773,Shell Sande d,0,33778370,"Gallebergveien 2, 3070 Sande i Vestfold","59.59590712421837, 10.208969299888",,,,,,,2022-02-24 02:30:47.349365,00.00
774,YX Sande,0,22665600,"Sandebuktveien 2, 3070 Sande i Vestfold","59.58456259351115, 10.216641071044156",,,,,,,2022-02-24 01:39:06.921160,00.00
775,Shell Crt Holmestrand,0,33056730,"Grelland 3, 3089 Holmestrand","59.55931800847614, 10.153363007592283",,,,,,,2022-02-24 01:39:06.921160,00.00
776,Circle K Grelland,0,33312758,"Grelland 1, E-18 Grelland, 3089 Holmestrand","59.514967463544004, 10.20653616304286",,,,,,,2022-02-24 01:39:34.145351,00.00
777,Circle K Tønsberg,0,33321485,"Slagenveien 46, 3117 Tønsberg","59.26793403362159, 10.408269233621594",,,,,,,2022-02-24 01:47:39.523915,00.00
778,Circle K Vestskogen,0,33443334,"Kjernåsveien 11, 3142 Vestskogen","59.244592789127196, 10.396998689127198",,,,,,,2022-02-24 02:30:47.349365,00.00
779,Circle K Andebu,0,22665600,"Andebu Sentrum 22, 3158 Andebu","59.305764, 10.1757848",,,,,,,2022-02-24 01:39:06.921160,00.00
780,Shell Express Melsomvik,0,22665600,"Losgaten 1, 3159 Melsomvik","59.2246686, 10.3362022",,,,,,,2022-02-24 01:39:34.145351,00.00
781,Shell Crt Stokke,0,33336400,"Borgeskogen 3, 3160 Stokke","59.221354500000004, 10.30039258333334",,,,,,,2022-02-24 01:47:39.523915,00.00
782,Circle K Stokke,0,33341677,"Frederik Stangs gate 2, 3160 Stokke","56.8813685, -134.7638981",,,,,,,2022-02-24 02:30:47.349365,00.00
783,Circle K Sem,0,33062674,"Semsbyveien 83, 3170 Sem","42.7534502, 1.5241599259799994",,,,,,,2022-02-24 01:39:06.921160,00.00
784,Circle K Revetal,0,33081820,"Brårveien 1, 3174 Revetal","59.37253337816474, 10.263239078164737",,,,,,,2022-02-24 01:39:34.145351,00.00
785,Circle K Åsgårdstrand,0,40144345,"Grev Wedels gate 46, 3179 Åsgårdstrand","59.349878514696165, 10.459660675608363",,,,,,,2022-02-24 01:47:39.523915,00.00
786,Circle K Holtandalen d,0,22665600,"H B Haraldsens gate 36, 3188 Horten","46.81210565, 1.5382051557056249",,,,,,,2022-02-24 02:30:47.349365,00.00
787,Shell Express Apenes,0,33455424,"Falkenstensveien 31, 3189 Horten","59.42684888078075, 10.455455411549654",,,,,,,2022-02-24 01:39:06.921160,00.00
788,Circle K Haukerød,0,33184030,"Moveien 113, 3221 Sandefjord","59.13025951340898, 10.225808513408984",,,,,,,2022-02-24 01:39:34.145351,00.00
789,Cirkle K Nansetgata,0,22665600,"Nansetgata 40, 3256 Larvik","59.053506028000086, 10.027515028000083",,,,,,,2022-02-24 01:47:39.523915,00.00
790,Shell Express Gloppe,0,33114580,"Gloppeskogen 22, 3260 Larvik","59.05339853139006, 10.027407531390057",,,,,,,2022-02-24 02:30:47.349365,00.00
791,Circle K Hovland,0,33112680,"Yttersøveien 12, 3274 Larvik","59.05327485385059, 10.027283853850589",,,,,,,2022-02-24 01:39:06.921160,00.00
792,Esso Kvelde Servicesenter AS,0,33165860,"Holmfossveien 6, 3282 Kvelde","59.1922104, 9.9688646",,,,,,,2022-02-24 01:39:06.921160,00.00
793,Circle K Stavern,0,32784410,"Larviksveien 2, 3290 Stavern","52.797273, 7.4345519",,,,,,,2022-02-24 01:39:34.145351,00.00
794,Circle K Åmot,0,32841200,"Eikerveien 71, 3340 Åmot","61.261546283773356, 11.605573942649716",,,,,,,2022-02-24 01:47:39.523915,00.00
795,Circle K Lierbyen,0,32125944,"Hegsbroveien 22, 3403 Lier","51.13121003418342, 4.569792634183425",,,,,,,2022-02-24 02:30:47.349365,00.00
796,Ullerål service senter AS,0,22665600,"Hønengata 78, 3515 Hønefoss","60.16963729003535, 10.249448290035348",,,,,,,2022-02-24 01:39:06.921160,00.00
797,Shell Crt Hønefoss,0,61310050,"Hensmoveien 46, 3516 Hønefoss","60.16950585043937, 10.249316850439374",,,,,,,2022-02-24 01:39:34.145351,00.00
798,Circle K Jevnaker,0,32161304,"Samsmoveien 2, 3520 Jevnaker","60.22733606451691, 10.356098174804817",,,,,,,2022-02-24 01:47:39.523915,00.00
799,Circle K Vik,0,32074403,"Holeveien 1741, 3530 Røyse","60.0783353, 10.1968082",,,,,,,2022-02-24 02:30:47.349365,00.00
800,Circle K Gol,0,32082190,"Sentrumsvegen 91, 3550 Gol","60.7513391, 9.012301772691686",,,,,,,2022-02-24 01:39:06.921160,00.00
801,Circle K Ål,0,32090226,"Sundrejordet 2, 3570 Ål","41.000028, 19.9999619",,,,,,,2022-02-24 01:39:34.145351,00.00
802,Circle K Geilo,0,22665600,"Lienvegen 41, 3580 Geilo","60.534699947436934, 8.206545747436936",,,,,,,2022-02-24 01:47:39.523915,00.00
803,Shell Express Kongsberg,0,22665600,"Drammensveien 1, 3612 Kongsberg","59.67114768875274, 9.654508719765701",,,,,,,2022-02-24 02:30:47.349365,00.00
804,Shell Express Bølevegen,0,35527010,"Bølevegen 12, 3724 Skien","59.26643057853813, 9.531277726075595",,,,,,,2022-02-24 01:39:06.921160,00.00
805,Cirkle K Jorkjend,0,35596241,"Ulefossvegen 44, 3730 Skien","59.266607856281865, 9.531455003819332",,,,,,,2022-02-24 01:39:34.145351,00.00
806,Circle K Telemarksveien,0,35900055,"Telemarksvegen 61, 3734 Skien","59.26664736176033, 9.531494509297797",,,,,,,2022-02-24 01:47:39.523915,00.00
807,Asbjørn Goberg ESSO,0,35506680,"Porsgrunnsvegen 125, 3735 Skien","59.2665310741759, 9.531378221713368",,,,,,,2022-02-24 02:30:47.349365,00.00
808,Circle K Nenset,0,41237457,"Porsgrunnsvegen 192, 3735 Skien","59.26639302569514, 9.531240173232604",,,,,,,2022-02-24 01:39:06.921160,00.00
809,Shell Kragerø Kirkebukta,0,35982014,"Ytre strandvei 32 -34, 3770 Kragerø","48.22272945, 20.717762532250816",,,,,,,2022-02-24 01:39:06.921160,00.00
810,Circle K Kalstad,0,35073103,"Frydensborgveien 2, 3772 Kragerø","58.80225625, 9.54584295025117",,,,,,,2022-02-24 01:39:34.145351,00.00
811,Esso Rauland Dekksperten,0,35070105,"Rjukanvegen 1, 3864 Rauland","59.6947381, 8.0630086",,,,,,,2022-02-24 01:47:39.523915,00.00
812,Lindskog Auto-service AS,0,35557307,"Vatjønnvegen 3, 3895 Edland","59.738484, 7.6010174",,,,,,,2022-02-24 02:30:47.349365,00.00
813,Circle K Porsgrunn,0,22665600,"Hovenggata 2, 3915 Porsgrunn","59.14115468485216, 9.656645184852158",,,,,,,2022-02-24 01:39:06.921160,00.00
814,Shell Crt Eidanger,0,35930990,"Floodmyrvegen 40, 3946 Porsgrunn","59.141024185981955, 9.656514685981954",,,,,,,2022-02-24 01:39:34.145351,00.00
815,Circle K Telemarksporten,0,35968580,"Prestemoen 4, 3946 Porsgrunn","59.141132769640656, 9.656623269640653",,,,,,,2022-02-24 01:47:39.523915,00.00
816,Circle K Bamble,0,51528744,"Europaveien 1387, 3967 Stathelle","59.04524297351056, 9.69797857351056",,,,,,,2022-02-24 02:30:47.349365,00.00
817,Circle K Lagårdsveien,0,51576007,"Lagårdsveien 123, 4011 Stavanger","59.10225327444222, 5.712851731717922",,,,,,,2022-02-24 01:39:06.921160,00.00
818,Cirkle K Forus,0,51715100,"Petroleumsveien 1, 4031 Stavanger","59.10225441410794, 5.712852871383642",,,,,,,2022-02-24 01:39:34.145351,00.00
819,Yx Sande Gård,0,51651455,"Rådhusvegen 22, 4050 Sola","58.88235541028814, 5.35652740567653",,,,,,,2022-02-24 01:47:39.523915,00.00
820,Circle K Sola,0,51417436,"Flyplassvegen 213, 4055 Sola","58.882175145711265, 5.35634714109965",,,,,,,2022-02-24 02:30:47.349365,00.00
821,Circle K Randaberg,0,51747535,"Tungenesveien 8, 4071 Randaberg","59.02119005444937, 5.564999970809471",,,,,,,2022-02-24 01:39:06.921160,00.00
822,Circle K Jørpeland,0,51746313,"Nedre Barkvedvegen 17, 4100 Jørpeland","59.0240227, 6.0438845",,,,,,,2022-02-24 01:39:34.145351,00.00
823,Circle K Tau,0,22665600,"Ryfylkevegen 1970, 4120 Tau","46.59470658026881, 24.154478780268807",,,,,,,2022-02-24 01:47:39.523915,00.00
824,Shell Express Rennesøy,0,52815372,"Mosterøyveien 1, 4156 Mosterøy","59.0791179, 5.648167466742991",,,,,,,2022-02-24 02:30:47.349365,00.00
825,Circle K Sævelandsvik,0,51688604,"Nylandvegen 1, 4275 Sævelandsvik","59.2712597, 5.1962344",,,,,,,2022-02-24 01:39:06.921160,00.00
826,Circle K Hommersåk,0,22665600,"Hommersåkveien 172, 4311 Hommersåk","58.9275853, 5.8512578",,,,,,,2022-02-24 01:39:06.921160,00.00
827,Shell Express Bogafjell,0,51620533,"Bogafjellveien 65, 4324 Sandnes","58.85198226508525, 5.737190465085249",,,,,,,2022-02-24 01:39:34.145351,00.00
828,Circle K Hana,0,51612160,"Skippergata 102, 4328 Sandnes","58.852134803558585, 5.737343003558586",,,,,,,2022-02-24 01:47:39.523915,00.00
829,Circle K Ålgård,0,22665600,"Sandnesveien 40, 4330 Ålgård","58.7681995662544, 5.849539266254405",,,,,,,2022-02-24 02:30:47.349365,00.00
830,Shell Express Ålgård,0,22665600,"Sandnesveien 17, 4331 Ålgård","58.76821647371873, 5.849556173718734",,,,,,,2022-02-24 01:39:06.921160,00.00
831,Shell Express Klepp,0,51789700,"Jærvegen 510, 4350 Kleppe","58.774592570582804, 5.629722270582806",,,,,,,2022-02-24 01:39:34.145351,00.00
832,Circle K Klepp,0,51485552,"Jærvegen 555, 4350 Kleppe","58.77456987796149, 5.629699577961491",,,,,,,2022-02-24 01:47:39.523915,00.00
833,Rolf G Skjæveland AS,0,51433652,"O.G. Kvernelands veg 13, 4355 Kvernaland","58.77785615231961, 5.727941862177834",,,,,,,2022-02-24 02:30:47.349365,00.00
834,Cirkle K Nærbø,0,51490611,"Bernervegen 5, 4365 Nærbø","43.1837661, 3.0042121",,,,,,,2022-02-24 01:39:06.921160,00.00
835,Circle K Egersund,0,51452323,"Jernbaneveien 30, 4370 Egersund","58.45206745083537, 6.000168550835373",,,,,,,2022-02-24 01:39:34.145351,00.00
836,Circle K Vikeså,0,38375153,"Vikesågata 2, 4389 Vikeså","58.6317467, 6.08001",,,,,,,2022-02-24 01:47:39.523915,00.00
837,Circle K Sira,0,38370142,"Sirnesvegen 20, 4438 Sira","58.406528395510385, 6.6257926536639005",,,,,,,2022-02-24 02:30:47.349365,00.00
838,Circle K Tonstad,0,38355116,"Tonstadveien 17, 4440 Tonstad","58.6645543, 6.7160736",,,,,,,2022-02-24 01:39:06.921160,00.00
839,Coop sørvest SA,0,38357040,"Krågelandsvegen 12, 4473 Kvinlog","58.5231747, 6.935795",,,,,,,2022-02-24 01:39:34.145351,00.00
840,Circle K Kvinesdal,0,22665600,"Nesgata 40, 4480 Kvinesdal","58.315688504668465, 6.97422704180545",,,,,,,2022-02-24 01:47:39.523915,00.00
841,Tank - Vestnes bensin,0,91560989,"Gustav Vigelands vei 32, 4514 Mandal","58.030190372907384, 7.4500734482216835",,,,,,,2022-02-24 02:30:47.349365,00.00
842,Circle K Livold,0,38390761,"Mandalsveien 1607, 4520 Lindesnes","58.088784707124375, 7.294599776913737",,,,,,,2022-02-24 01:39:06.921160,00.00
843,Circle K Farsund,0,38345259,"Ferjeveien 2, 4550 Farsund","58.0951137, 6.8047461",,,,,,,2022-02-24 01:39:06.921160,00.00
844,Esso-Express Lyngdal,19.79,38345675,"Alleen 2, 4580 Lyngdal","58.13760490835985, 7.071262688693492",,,,,,,2022-04-08 23:02:40.980852,20.79
845,Circle K Lyngdal,0,38022093,"Grøndokktunet 24, 4580 Lyngdal","58.13796203082673, 7.06677316512071",,,,,,,2022-02-24 01:47:39.523915,00.00
846,Circle K Elvegata,0,22665600,"Elvegata 52 A, 4614 Kristiansand S","58.14615, 7.9957333",,,,,,,2022-02-24 02:30:47.349365,00.00
847,Shell Crt Kristiansand,0,38031660,"Setesdalsveien 230, 4618 Kristiansand S","58.181873376426125, 7.936777207782786",,,,,,,2022-02-24 01:39:06.921160,00.00
848,Shell Fidjane Øst,0,38032770,"Vesterveien 201, 4628 Kristiansand S","58.19420869573737, 7.948716559200806",,,,,,,2022-02-24 01:39:34.145351,00.00
849,Shell Fidjane Vest,0,22665600,"Vesterveien 200, 4628 Kristiansand S","58.145677634892174, 7.912998724776374",,,,,,,2022-02-24 01:47:39.523915,00.00
850,Shell Express Sørlandsparken,0,37271589,"Barstølveien 3, 4636 Kristiansand S","58.1744047707111, 8.12843608560506",,,,,,,2022-02-24 02:30:47.349365,00.00
851,Circle K Kjerlingland,0,37030504,"Kjerlingland, 4790 Lillesand","58.237298255798216, 8.301450416925755",,,,,,,2022-02-24 01:39:06.921160,00.00
852,Circle K Saltrød,0,22665600,"Neskilveien 1, 4815 Saltrød","58.4932729, 8.8454162",,,,,,,2022-02-24 01:39:34.145351,00.00
853,Shell Express Arendal,0,22665600,"Vesterveien 50, 4839 Arendal","58.45973844198619, 8.766699941986188",,,,,,,2022-02-24 01:47:39.523915,00.00
