index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
45,Brekkebygda bensinstasjon AS,0,0,"Sognefjordvegen 390, 5961 Brekke","59.294362280273184, 10.48495978027318",,,Vadsø,Vadsø,Troms og Finnmark,"70.22671985, 29.78277929931153",2022-02-24 02:30:47.349365,00.00
46,Meråker bensinstasjon AS,0,0,"Mellomriksveien 4855, 7530 Meråker","63.39714739568823, 11.81271669768522",,,Vardø,Vardø,Troms og Finnmark,"43.95995, 4.297637002377168",2022-02-24 01:39:06.921160,00.00
47,Leinesfjord bensinstasjon AS,0,0,"Ågotskaret 3, 8283 Leinesfjord","67.7761595, 15.0173918",,,Alta,Alta,Troms og Finnmark,"70.04962755, 23.08254009804839",2022-02-24 01:39:34.145351,00.00
48,Vikeså veiservice AS avd bensinstasjon,0,0,"Bjerkreimsvegen 900, 4389 Vikeså","58.63210782507138, 6.080371125071377",,,Askim,Askim,Viken,"57.6341437, 11.9379446",2022-02-24 01:47:39.523915,00.00
49,Nå Auto AS avd. Delelagerbensinstasjon,0,0,"Fjordavegen 1945, 5776 Nå","60.500315273182146, 9.100265873182146",,,Brekstad,Ørland,Trøndelag,"63.6868699, 9.6663716",2022-02-24 02:30:47.349365,00.00
50,Lofthus Auto AS avd bensinstasjon,0,0,"Ullensvangvegen 689, 5781 Lofthus","60.326153082516136, 6.65943418251614",,,Brevik,Porsgrunn,Vestfold og Telemark,"59.0528886, 9.699978",2022-02-24 01:39:06.921160,00.00
51,Best Fjaler,0,0,"Fv61, 6967 Hellevik i Fjaler","22.3511148, 78.6677428",,,Brumunddal,Ringsaker,Innlandet,"60.8849126, 10.941858",2022-02-24 01:39:06.921160,00.00
52,Vanvikan bensinstasjon invest AS,0,0,"Bjørganveien 29, 7125 Vanvikan","63.55478645804546, 10.219282858045458",,,Bryne,Time,Rogaland,"58.735525, 5.6478183",2022-02-24 01:39:34.145351,00.00
53,Saltdal turistsenter AS avd bensinstasjon,0,0,"Saltfjellveien 2033, 8255 Røkland","66.98445027727608, 15.31172967727608",,,Brønnøysund,Brønnøy,Nordland,"65.4748755, 12.2116394",2022-02-24 01:47:39.523915,00.00
54,Bergerkrysset Auto Mysen AS avd bensinstasjon,0,0,"Smedgata 3, 1850 Mysen","59.55411501731615, 11.324363317316147",,,Drøbak,Frogn,Viken,"59.66927595, 10.645472201743269",2022-02-24 02:30:47.349365,00.00
